accessionnr	jaar
AAB66796	1996
AAB66797	1996
AAB66798	1996
AAB66799	1996
AAB66800	1996
AAB66801	1995
AAB66802	1996
AAB66804	1996
AAB66805	1996
AAB66807	1995
AAB66808	1995
AAB66809	1996
AAB66810	1996
AAB69773	1994
AAB69774	1994
AAB69775	1993
AAB69777	1994
AAB69778	1993
AAB69780	1993
AAB69781	1993
AAB69783	1993
AAB69784	1993
AAB69785	1993
AAB69786	1993
AAB69787	1993
AAB69788	1993
AAB69789	1993
AAB69790	1994
AAB69791	1993
AAB69792	1993
AAB69793	1993
AAB69794	1993
AAB69795	1994
AAB69797	1994
AAB69798	1994
AAB69799	1993
AAB69800	1994
AAB69801	1994
AAB69802	1994
AAB69803	1983
AAB69804	1987
AAB69805	1984
AAB69806	1985
AAB69807	1985
AAB69808	1983
AAB69809	1984
AAB69810	1983
AAB69811	1984
AAB69812	1984
AAB69813	1984
AAB69814	1985
AAB69815	1985
AAB69816	1985
AAB69817	1985
AAB69818	1985
AAB69819	1985
AAB69820	1987
AAB69821	1987
AAB69822	1988
AAB69823	1988
AAB69825	1987
AAB69826	1987
AAB69827	1987
AAB69828	1987
AAB69829	1987
AAB69831	1987
AAB69832	1987
AAB69833	1985
AAB69834	1985
AAB69835	1985
AAB69836	1983
AAB69840	1985
AAB69842	1985
AAB69844	1985
AAB69845	1986
AAB69846	1985
AAB69848	1985
AAB69849	1988
AAB69850	1985
AAB69851	1988
AAB81456	1996
AAB81457	1996
AAB81458	1996
AAB81459	1996
AAB81460	1996
AAB81461	1996
AAB81462	1996
AAB81463	1996
AAB82064	1991
AAC08288	1994
AAC08289	1994
AAC08290	1994
AAC08291	1994
AAC08293	1994
AAC08294	1994
AAC08295	1994
AAC08296	1994
AAC08297	1994
AAC14275	1992
AAC31556	1980
AAC36729	1997
AAC36730	1997
AAC36731	1997
AAC36732	1998
AAC36733	1998
AAC36734	1997
AAC36735	1997
AAC36736	1998
AAC36737	1998
AAC40999	1995
AAC53845	1991
AAC53846	1981
AAC54383	1986
AAC54384	1980
AAC54385	1981
AAC54386	1993
AAC54387	1987
AAC54388	1979
AAC54390	1972
AAC54391	1984
AAC54392	1980
AAC57169	1993
AAC58990	1995
AAC58991	1980
AAC58992	1988
AAC58993	1975
AAC58994	1975
AAC58995	1975
AAC58996	1981
AAC58997	1995
AAC58998	1968
AAC58999	1987
AAC59602	1996
AAC59603	1996
AAC59604	1996
AAC63474	1996
AAC63475	1996
AAC63476	1995
AAC63477	1996
AAC63478	1997
AAC78089	1994
AAC80152	1995
AAC80153	1995
AAC80154	1995
AAC83790	1998
AAC83791	1998
AAC83792	1997
AAC83793	1998
AAC83794	1998
AAC83795	1997
AAC83796	1997
AAC83797	1998
AAC83798	1998
AAC83799	1998
AAC83800	1998
AAD00123	1994
AAD00124	1995
AAD00125	1995
AAD00126	1995
AAD00127	1995
AAD00128	1995
AAD13572	1981
AAD13573	1984
AAD13574	1986
AAD13575	1983
AAM46887	1999
AAM46888	1999
AAM46889	1999
AAM46890	1999
AAM46891	1999
AAM49555	2001
AAM69944	1996
AAM69945	1998
AAM69946	1997
AAM69947	1994
AAM69948	1998
AAM69949	1998
AAM69950	1994
AAM69951	1994
AAM69962	2001
AAM69973	2001
AAM69983	2000
AAM69993	2000
AAM70005	2001
AAM70007	2000
AAM75158	1934
AAM76686	1943
AAM76687	1943
AAM76688	1943
AAM76689	1947
AAM76690	1947
AAM76691	1943
AAM82560	1996
AAM82561	1995
AAM82562	1995
AAM88280	1996
AAM88283	1996
AAN01150	1998
AAN01151	1998
AAN01152	1998
AAN01153	1998
AAN01154	1998
AAN01155	1998
AAN01156	1998
AAN01157	1998
AAN01158	1998
AAN01159	1998
AAN01160	1998
AAN01161	1998
AAN01162	1998
AAN01163	1998
AAN01164	1998
AAN01165	1998
AAN01166	1998
AAN01167	1998
AAN05676	1995
AAN05677	1997
AAN05678	1999
AAN05679	1997
AAN05680	1996
AAN05681	1998
AAN05682	1998
AAN05683	1998
AAN05684	1999
AAN05685	1998
AAN17779	1994
AAN46827	2002
AAN63953	1999
AAN63954	1998
AAN63955	2002
AAN63956	2002
AAN63957	2002
AAN63958	2002
AAN64892	2001
AAN64893	2001
AAN64894	2001
AAN64895	2001
AAN64896	2001
AAN64897	2001
AAN64898	2001
AAN64899	2001
AAN64900	2001
AAN64901	2001
AAN64902	2001
AAN64903	2001
AAN64904	2001
AAN64905	2001
AAN83926	2000
AAN83927	2000
AAN83928	2000
AAN83929	2000
AAN83930	2000
AAN83931	2000
AAN83932	2000
AAN83933	2001
AAN83934	2001
AAN83935	2001
